probe_id	gene_symbol	gene_name	go_ids
A0A7M7G9I3	A0A7M7G9I3	A0A7M7G9I3	GO:0000184|GO:0003729|GO:0005730|GO:0005737|GO:0045727
A0A7M7G9K9	A0A7M7G9K9	A0A7M7G9K9	GO:0042407|GO:0044284|GO:0061617
A0A7M7G9L5	A0A7M7G9L5	A0A7M7G9L5	GO:0000139|GO:0004653|GO:0006493|GO:0030246|GO:0046872
A0A7M7G9N5	A0A7M7G9N5	A0A7M7G9N5	GO:0005743|GO:0006207|GO:0044205|GO:0106430
A0A7M7G9Q5	A0A7M7G9Q5	A0A7M7G9Q5	GO:0000785|GO:0000978|GO:0000981|GO:0005667|GO:0008270|GO:0009653|GO:0030154|GO:0031519|GO:0048731
A0A7M7G9R0	A0A7M7G9R0	A0A7M7G9R0	GO:0005524|GO:0061631
A0A7M7G9R6	A0A7M7G9R6	A0A7M7G9R6	GO:0003723|GO:0048255|GO:1990817
A0A7M7G9T4	A0A7M7G9T4	A0A7M7G9T4	GO:0003677|GO:0003723|GO:0005730|GO:0042273|GO:0042274
A0A7M7G9U1	A0A7M7G9U1	A0A7M7G9U1	GO:0004674|GO:0005524|GO:0005634|GO:0035556|GO:0043065|GO:0045087
A0A7M7G9U2	A0A7M7G9U2	A0A7M7G9U2	GO:0004109|GO:0005737|GO:0006782
A0A7M7G9U6	A0A7M7G9U6	A0A7M7G9U6	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7G9V0	A0A7M7G9V0	A0A7M7G9V0	GO:0005829|GO:0007548|GO:0030154|GO:0101006
A0A7M7G9V6	A0A7M7G9V6	A0A7M7G9V6	GO:0000981|GO:0003677|GO:0005634|GO:0007601|GO:0048663
A0A7M7G9W7	A0A7M7G9W7	A0A7M7G9W7	GO:0000977|GO:0000981|GO:0005634|GO:0007366|GO:0008270
A0A7M7G9X1	A0A7M7G9X1	A0A7M7G9X1	GO:0005739|GO:0016020|GO:0032981
A0A7M7G9X4	A0A7M7G9X4	A0A7M7G9X4	GO:0005634|GO:0031262|GO:0051301|GO:0051315
A0A7M7G9X7	A0A7M7G9X7	A0A7M7G9X7	GO:0003677|GO:0003682|GO:0005634|GO:0006325|GO:0008270|GO:0042393|GO:0045892
A0A7M7G9X9	A0A7M7G9X9	A0A7M7G9X9	GO:0005634|GO:0005737|GO:0006493|GO:0097363
A0A7M7G9Y0	A0A7M7G9Y0	A0A7M7G9Y0	GO:0005739|GO:0005777|GO:0006635|GO:0051750
A0A7M7G9Y9	A0A7M7G9Y9	A0A7M7G9Y9	GO:0000978|GO:0000981|GO:0005634|GO:0008270|GO:0045944
A0A7M7G9Z1	A0A7M7G9Z1	A0A7M7G9Z1	GO:0004089|GO:0005737|GO:0008270
A0A7M7G9Z3	A0A7M7G9Z3	A0A7M7G9Z3	GO:0003925|GO:0005525|GO:0032486|GO:0055038
A0A7M7GA00	A0A7M7GA00	A0A7M7GA00	GO:0005085|GO:0005794|GO:0015031|GO:0016020|GO:0032012|GO:0048471
A0A7M7GA03	A0A7M7GA03	A0A7M7GA03	GO:0000139|GO:0005802|GO:0006914|GO:0010008|GO:0015031|GO:0031966|GO:0034045
A0A7M7GA05	A0A7M7GA05	A0A7M7GA05	GO:0003989|GO:0004075|GO:0005524|GO:0005739|GO:0006633|GO:0046872|GO:2001295
A0A7M7GA11	A0A7M7GA11	A0A7M7GA11	GO:0000124|GO:0003713|GO:0005634|GO:0006357
A0A7M7GA17	A0A7M7GA17	A0A7M7GA17	GO:0005200|GO:0005525|GO:0005634|GO:0005814|GO:0005874|GO:0005929|GO:0007017|GO:0030030
A0A7M7GA23	A0A7M7GA23	A0A7M7GA23	GO:0005813|GO:0005814|GO:0007099|GO:0051299|GO:1902017|GO:1902410
A0A7M7GA26	A0A7M7GA26	A0A7M7GA26	GO:0003676|GO:0003899|GO:0005736|GO:0006363|GO:0008270
A0A7M7GA29	A0A7M7GA29	A0A7M7GA29	GO:0032580|GO:0047238
A0A7M7GA31	A0A7M7GA31	A0A7M7GA31	GO:0005737|GO:0015038|GO:0034599
A0A7M7GA35	A0A7M7GA35	A0A7M7GA35	GO:0070301
A0A7M7GA39	A0A7M7GA39	A0A7M7GA39	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GA57	A0A7M7GA57	A0A7M7GA57	GO:0000779|GO:0000796|GO:0005634|GO:0007076|GO:0010032|GO:0042393|GO:0051301
A0A7M7GA61	A0A7M7GA61	A0A7M7GA61	GO:0003677|GO:0003700|GO:0005634|GO:0007623
A0A7M7GA65	A0A7M7GA65	A0A7M7GA65	GO:0000340|GO:0003729|GO:0005634
A0A7M7GA68	A0A7M7GA68	A0A7M7GA68	GO:0001682|GO:0004526|GO:0030678|GO:0046872|GO:0097745
A0A7M7GA77	A0A7M7GA77	A0A7M7GA77	GO:0000978|GO:0000981|GO:0005634|GO:0007417|GO:0030182
A0A7M7GA79	A0A7M7GA79	A0A7M7GA79	GO:0005245|GO:0005891|GO:0046872
A0A7M7GA87	A0A7M7GA87	A0A7M7GA87	GO:0005886|GO:0005975|GO:0016231|GO:0030203
A0A7M7GA88	A0A7M7GA88	A0A7M7GA88	GO:0005524|GO:0061631
A0A7M7GAA4	A0A7M7GAA4	A0A7M7GAA4	GO:0000978|GO:0000981|GO:0005634|GO:0005667|GO:0042127|GO:0051726
A0A7M7GAB2	A0A7M7GAB2	A0A7M7GAB2	GO:0000149|GO:0001786|GO:0005509|GO:0005544|GO:0005886|GO:0017156|GO:0030276|GO:0070382
A0A7M7GAB4	A0A7M7GAB4	A0A7M7GAB4	GO:0004452|GO:0005737|GO:0006695|GO:0009240|GO:0046872|GO:0050992
A0A7M7GAB7	A0A7M7GAB7	A0A7M7GAB7	GO:0000226|GO:0005856|GO:0021952|GO:1990535
A0A7M7GAC3	A0A7M7GAC3	A0A7M7GAC3	GO:0003677|GO:0003700|GO:0045944|GO:0046983|GO:0090575
A0A7M7GAD4	A0A7M7GAD4	A0A7M7GAD4	GO:0046872|GO:1990738
A0A7M7GAD5	A0A7M7GAD5	A0A7M7GAD5	GO:0003735|GO:0005840|GO:0006412|GO:1990904
A0A7M7GAE4	A0A7M7GAE4	A0A7M7GAE4	GO:0000977|GO:0000981|GO:0005634|GO:0032502|GO:0046983
A0A7M7GAG6	A0A7M7GAG6	A0A7M7GAG6	GO:0008270|GO:0008898|GO:0009086|GO:0032259|GO:0033528
A0A7M7GAG9	A0A7M7GAG9	A0A7M7GAG9	GO:0005737|GO:0005868|GO:0007018|GO:0045505
A0A7M7GAH6	A0A7M7GAH6	A0A7M7GAH6	GO:0000122|GO:0003714|GO:0005730|GO:0048511|GO:0061629|GO:0070822
A0A7M7GAI2	A0A7M7GAI2	A0A7M7GAI2	GO:0004729|GO:0005743|GO:0006782
A0A7M7GAI3	A0A7M7GAI3	A0A7M7GAI3	GO:0003677|GO:0003723|GO:0005681|GO:0006397|GO:0008380|GO:0016607
A0A7M7GAJ6	A0A7M7GAJ6	A0A7M7GAJ6	GO:0003677|GO:0003682|GO:0008270|GO:0009887|GO:0035517|GO:0045944
A0A7M7GAK0	A0A7M7GAK0	A0A7M7GAK0	GO:0004516|GO:0005829|GO:0016757|GO:0034355
A0A7M7GAK1	A0A7M7GAK1	A0A7M7GAK1	GO:0003729|GO:0005634|GO:0005737|GO:0008266|GO:0009967|GO:0010629|GO:0050686|GO:1990904
A0A7M7GAK6	A0A7M7GAK6	A0A7M7GAK6	GO:0005634|GO:0005737|GO:0009408|GO:0042026|GO:0051082
A0A7M7GAK9	A0A7M7GAK9	A0A7M7GAK9	GO:0000166|GO:0016020|GO:0016263
A0A7M7GAL1	A0A7M7GAL1	A0A7M7GAL1	GO:0005789|GO:0016874|GO:0032434|GO:0034976|GO:0061666|GO:1990592
A0A7M7GAL3	A0A7M7GAL3	A0A7M7GAL3	GO:0015035
A0A7M7GAL6	A0A7M7GAL6	A0A7M7GAL6	GO:0000786|GO:0003677|GO:0005634|GO:0030527|GO:0046982
A0A7M7GAL7	A0A7M7GAL7	A0A7M7GAL7	GO:0000076|GO:0004527|GO:0006281|GO:0030896|GO:0031573|GO:0071479
A0A7M7GAM3	A0A7M7GAM3	A0A7M7GAM3	GO:0005789|GO:0005813|GO:0031966|GO:0042383
A0A7M7GAM7	A0A7M7GAM7	A0A7M7GAM7	GO:0005829|GO:0008465|GO:0030267|GO:0051287
A0A7M7GAM8	A0A7M7GAM8	A0A7M7GAM8	GO:0000785|GO:0000978|GO:0000981|GO:0005667|GO:0008270|GO:0031519
A0A7M7GAN9	A0A7M7GAN9	A0A7M7GAN9	GO:0005524|GO:0005739|GO:0009396|GO:0030272|GO:0035999|GO:0046872
A0A7M7GAP7	A0A7M7GAP7	A0A7M7GAP7	GO:0005737|GO:0005886|GO:0007271|GO:0008270|GO:0031594|GO:0033130|GO:0043495|GO:1900075
A0A7M7GAQ0	A0A7M7GAQ0	A0A7M7GAQ0	GO:0005737|GO:0016272|GO:0044183|GO:0051082
A0A7M7GAQ5	A0A7M7GAQ5	A0A7M7GAQ5	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GAR4	A0A7M7GAR4	A0A7M7GAR4	GO:0008417|GO:0032580
A0A7M7GAS0	A0A7M7GAS0	A0A7M7GAS0	GO:0000978|GO:0000981|GO:0005634|GO:0009653|GO:0030182
A0A7M7GAT2	A0A7M7GAT2	A0A7M7GAT2	GO:0005385|GO:0005794|GO:0006882|GO:0016020|GO:0031410|GO:1904257
A0A7M7GAT3	A0A7M7GAT3	A0A7M7GAT3	GO:0000978|GO:0000981|GO:0005634|GO:0007417|GO:0008270|GO:0045944|GO:0055059|GO:0060562|GO:2000177
A0A7M7GAU6	A0A7M7GAU6	A0A7M7GAU6	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GAV8	A0A7M7GAV8	A0A7M7GAV8	GO:0005546|GO:0005737|GO:0005886|GO:0031932|GO:0038203
A0A7M7GAW0	A0A7M7GAW0	A0A7M7GAW0	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GAW7	A0A7M7GAW7	A0A7M7GAW7	GO:0000978|GO:0000981|GO:0005634|GO:0006338
A0A7M7GAY9	A0A7M7GAY9	A0A7M7GAY9	GO:0005789|GO:0006506|GO:0051377
A0A7M7GAZ3	A0A7M7GAZ3	A0A7M7GAZ3	GO:0000077|GO:0005634|GO:0042393|GO:0045944
A0A7M7GAZ8	A0A7M7GAZ8	A0A7M7GAZ8	GO:0005635|GO:0005737|GO:0006606|GO:0051028
A0A7M7GAZ9	A0A7M7GAZ9	A0A7M7GAZ9	GO:0004674|GO:0005524|GO:0005634|GO:0044773|GO:0051301
A0A7M7GB08	A0A7M7GB08	A0A7M7GB08	GO:0000978|GO:0000981|GO:0005634
A0A7M7GB13	A0A7M7GB13	A0A7M7GB13	GO:0005739|GO:0005840|GO:1990904
A0A7M7GB14	A0A7M7GB14	A0A7M7GB14	GO:0005794|GO:0005829|GO:0006869|GO:0016020|GO:0032934
A0A7M7GB23	A0A7M7GB23	A0A7M7GB23	GO:0003755|GO:0005739|GO:0006457|GO:0016018
A0A7M7GB25	A0A7M7GB25	A0A7M7GB25	GO:0005778|GO:0030674|GO:0045046
A0A7M7GB26	A0A7M7GB26	A0A7M7GB26	GO:0004623|GO:0006644|GO:0016042|GO:0050482
A0A7M7GB27	A0A7M7GB27	A0A7M7GB27	GO:0005789|GO:0005794|GO:0006665|GO:0016125|GO:0032366|GO:0032541|GO:0097036
A0A7M7GB32	A0A7M7GB32	A0A7M7GB32	GO:0003735|GO:0005762|GO:0006412|GO:0070180
A0A7M7GB34	A0A7M7GB34	A0A7M7GB34	GO:0004842|GO:0005634|GO:0006511|GO:0008270|GO:0016567
A0A7M7GB39	A0A7M7GB39	A0A7M7GB39	GO:0002181|GO:0003735|GO:0022625
A0A7M7GB53	A0A7M7GB53	A0A7M7GB53	GO:0000122|GO:0000978|GO:0003700|GO:0005634|GO:0008270
A0A7M7GB63	A0A7M7GB63	A0A7M7GB63	GO:0003924|GO:0005525|GO:0005794|GO:0015031|GO:0016192|GO:0046872|GO:0048731|GO:0051649
A0A7M7GB66	A0A7M7GB66	A0A7M7GB66	GO:0004930|GO:0005886|GO:0032870|GO:0042277
A0A7M7GB67	A0A7M7GB67	A0A7M7GB67	GO:0006884|GO:0008511|GO:0016020|GO:0055064|GO:0055075|GO:0055078|GO:1990573
A0A7M7GB76	A0A7M7GB76	A0A7M7GB76	GO:0016020|GO:0035869|GO:0060271
A0A7M7GB78	A0A7M7GB78	A0A7M7GB78	GO:0005737|GO:0005886|GO:0016477|GO:0030027|GO:0034315
A0A7M7GB83	A0A7M7GB83	A0A7M7GB83	GO:0000977|GO:0000981|GO:0007399|GO:0045944|GO:0046983|GO:0090575
A0A7M7GBA0	A0A7M7GBA0	A0A7M7GBA0	GO:0000723|GO:0000724|GO:0005730|GO:0006289|GO:0030896|GO:0031573|GO:0033314|GO:0035861|GO:0044778
A0A7M7GBA8	A0A7M7GBA8	A0A7M7GBA8	GO:0005524|GO:0006281|GO:0061631
A0A7M7GBC9	A0A7M7GBC9	A0A7M7GBC9	GO:0005031|GO:0009897
A0A7M7GBF0	A0A7M7GBF0	A0A7M7GBF0	GO:0003676|GO:0005737|GO:0016279|GO:0032259
A0A7M7GBF1	A0A7M7GBF1	A0A7M7GBF1	GO:0005634|GO:0008270|GO:0016567|GO:0043122|GO:0061630
A0A7M7GBG0	A0A7M7GBG0	A0A7M7GBG0	GO:0005794|GO:0006886|GO:0016192|GO:0030131|GO:0030665|GO:0031984
A0A7M7GBG3	A0A7M7GBG3	A0A7M7GBG3	GO:0000502|GO:0005524|GO:0005634|GO:0005737|GO:0016887
A0A7M7GBH7	A0A7M7GBH7	A0A7M7GBH7	GO:0005743|GO:0015031|GO:0045039|GO:0046872
A0A7M7GBH8	A0A7M7GBH8	A0A7M7GBH8	GO:0004674|GO:0005524|GO:0005737
A0A7M7GBI4	A0A7M7GBI4	A0A7M7GBI4	GO:0000213|GO:0000214|GO:0000379|GO:0003676|GO:0005730|GO:0006397
A0A7M7GBL0	A0A7M7GBL0	A0A7M7GBL0	GO:0005886|GO:0005905|GO:0030136|GO:0048268|GO:0072583
A0A7M7GBM2	A0A7M7GBM2	A0A7M7GBM2	GO:0006898|GO:0015031|GO:0016324|GO:0030139
A0A7M7GBN4	A0A7M7GBN4	A0A7M7GBN4	GO:0003735|GO:0005762|GO:0006412
A0A7M7GBQ5	A0A7M7GBQ5	A0A7M7GBQ5	GO:0005737|GO:0005912|GO:0007349|GO:0008013|GO:0016342|GO:0016477|GO:0051015|GO:0098609
A0A7M7GBR6	A0A7M7GBR6	A0A7M7GBR6	GO:0012505|GO:0015031|GO:0016192|GO:0031410
A0A7M7GBT2	A0A7M7GBT2	A0A7M7GBT2	GO:0005634|GO:0005758|GO:0005829|GO:0045332|GO:1990050
A0A7M7GBU1	A0A7M7GBU1	A0A7M7GBU1	GO:0000132|GO:0008093|GO:0008356|GO:0009786|GO:0045176|GO:0045179
A0A7M7GC02	A0A7M7GC02	A0A7M7GC02	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GC16	A0A7M7GC16	A0A7M7GC16	GO:0005769|GO:0006886|GO:0007165|GO:0030659|GO:0032456|GO:0035091
A0A7M7GC30	A0A7M7GC30	A0A7M7GC30	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GC40	A0A7M7GC40	A0A7M7GC40	GO:0005085|GO:0005829|GO:0006897|GO:0030136|GO:0032456|GO:1901981
A0A7M7GC61	A0A7M7GC61	A0A7M7GC61	GO:0003924|GO:0005200|GO:0005525|GO:0005874|GO:0007017|GO:0046872
A0A7M7GC75	A0A7M7GC75	A0A7M7GC75	GO:0005814|GO:0060271|GO:0097730
A0A7M7GCB8	A0A7M7GCB8	A0A7M7GCB8	GO:0005524|GO:0005737|GO:0008887
A0A7M7GDE8	A0A7M7GDE8	A0A7M7GDE8	GO:0000977|GO:0000981|GO:0005634|GO:0032502|GO:0046983
A0A7M7GDI4	A0A7M7GDI4	A0A7M7GDI4	GO:0005085|GO:0005764|GO:0043066|GO:0071230|GO:0071986|GO:1904263
A0A7M7GDJ5	A0A7M7GDJ5	A0A7M7GDJ5	GO:0000978|GO:0000981|GO:0005634|GO:0008270
A0A7M7GDL6	A0A7M7GDL6	A0A7M7GDL6	GO:0005634|GO:0005737|GO:0008168|GO:0008270|GO:0032259|GO:0042051|GO:0042826
A0A7M7GDN7	A0A7M7GDN7	A0A7M7GDN7	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GDP9	A0A7M7GDP9	A0A7M7GDP9	GO:0003700|GO:0005634|GO:0008270
A0A7M7GDQ8	A0A7M7GDQ8	A0A7M7GDQ8	GO:0016020|GO:0022857
A0A7M7GDS2	A0A7M7GDS2	A0A7M7GDS2	GO:0000184|GO:0003723|GO:0005829|GO:0035145|GO:0048471
A0A7M7GDT3	A0A7M7GDT3	A0A7M7GDT3	GO:0005102|GO:0005509|GO:0005576|GO:0009986
A0A7M7GDV2	A0A7M7GDV2	A0A7M7GDV2	GO:0000145|GO:0006886|GO:0006893|GO:0016020|GO:0090522
A0A7M7GDW9	A0A7M7GDW9	A0A7M7GDW9	GO:0005764|GO:0016790|GO:0098599
A0A7M7GDZ1	A0A7M7GDZ1	A0A7M7GDZ1	GO:0000978|GO:0000981|GO:0005634|GO:0006915|GO:0046872
A0A7M7GE22	A0A7M7GE22	A0A7M7GE22	GO:0003682|GO:0031507|GO:0032259|GO:0035098|GO:0140951
A0A7M7GE31	A0A7M7GE31	A0A7M7GE31	GO:0006884|GO:0008511|GO:0016020|GO:0055064|GO:0055075|GO:0055078|GO:1990573
A0A7M7GE52	A0A7M7GE52	A0A7M7GE52	GO:0005789|GO:0009922|GO:0019367|GO:0030148|GO:0034625|GO:0034626|GO:0042761
A0A7M7GEA5	A0A7M7GEA5	A0A7M7GEA5	GO:0000381|GO:0003723|GO:0005737|GO:0006397|GO:0008380|GO:0015030|GO:0016607|GO:0071011
A0A7M7GEC3	A0A7M7GEC3	A0A7M7GEC3	GO:0000139|GO:0005198|GO:0006886|GO:0006888|GO:0006890|GO:0006891|GO:0030126
A0A7M7GEE9	A0A7M7GEE9	A0A7M7GEE9	GO:0000978|GO:0000981|GO:0005634|GO:0008270
A0A7M7GEG8	A0A7M7GEG8	A0A7M7GEG8	GO:0000785|GO:0000978|GO:0000981|GO:0005667|GO:0008270|GO:0031519
A0A7M7GEK5	A0A7M7GEK5	A0A7M7GEK5	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GEK9	A0A7M7GEK9	A0A7M7GEK9	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GEP6	A0A7M7GEP6	A0A7M7GEP6	GO:0004867|GO:0005576
A0A7M7GET0	A0A7M7GET0	A0A7M7GET0	GO:0042407|GO:0044284|GO:0061617
A0A7M7GEU0	A0A7M7GEU0	A0A7M7GEU0	GO:0000398|GO:0005681
A0A7M7GF28	A0A7M7GF28	A0A7M7GF28	GO:0005634|GO:0005694|GO:0006355|GO:0030154|GO:0032259|GO:0046872|GO:0140955
A0A7M7GF69	A0A7M7GF69	A0A7M7GF69	GO:0000786|GO:0003690|GO:0005634|GO:0006334|GO:0030261|GO:0030527|GO:0031492|GO:0045910
A0A7M7GFA0	A0A7M7GFA0	A0A7M7GFA0	GO:0030515|GO:0031428|GO:0032040|GO:0042254
A0A7M7GFD1	A0A7M7GFD1	A0A7M7GFD1	GO:0007165|GO:0016787|GO:0039502
A0A7M7GFF5	A0A7M7GFF5	A0A7M7GFF5	GO:0001736|GO:0005737|GO:0005929|GO:0007399|GO:0016192|GO:0060271
A0A7M7GFN2	A0A7M7GFN2	A0A7M7GFN2	GO:0000278|GO:0000922|GO:0000930|GO:0005874|GO:0007020|GO:0031122|GO:0043015|GO:0051011|GO:0051225|GO:0051321
A0A7M7GIC4	A0A7M7GIC4	A0A7M7GIC4	GO:0005635|GO:0016055
A0A7M7GIE7	A0A7M7GIE7	A0A7M7GIE7	GO:0009100|GO:0016231|GO:0102571
A0A7M7GIG8	A0A7M7GIG8	A0A7M7GIG8	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GIH9	A0A7M7GIH9	A0A7M7GIH9	GO:0003723|GO:0048255|GO:1990817
A0A7M7GII7	A0A7M7GII7	A0A7M7GII7	GO:0000176|GO:0000177|GO:0003723|GO:0005730|GO:0016075|GO:0034475|GO:0071028|GO:0071051
A0A7M7GII9	A0A7M7GII9	A0A7M7GII9	GO:0003723|GO:0008033|GO:0043829|GO:0046872
A0A7M7GIJ1	A0A7M7GIJ1	A0A7M7GIJ1	GO:0000289|GO:0003723|GO:0004535|GO:0005634|GO:0005737|GO:0046872|GO:1990431|GO:1990432
A0A7M7GIK3	A0A7M7GIK3	A0A7M7GIK3	GO:0005788|GO:0016491|GO:0051084
A0A7M7GIL2	A0A7M7GIL2	A0A7M7GIL2	GO:0000978|GO:0004879|GO:0008270|GO:0009755|GO:0009888|GO:0090575
A0A7M7GIL4	A0A7M7GIL4	A0A7M7GIL4	GO:0005744|GO:0008320|GO:0030150
A0A7M7GIN8	A0A7M7GIN8	A0A7M7GIN8	GO:0005789|GO:0006505|GO:0006888|GO:0015031|GO:0050185
A0A7M7GIQ5	A0A7M7GIQ5	A0A7M7GIQ5	GO:0005523|GO:0005861|GO:0006936|GO:0006937|GO:0045214
A0A7M7GIR4	A0A7M7GIR4	A0A7M7GIR4	GO:0005634|GO:0005737|GO:0009408|GO:0042026|GO:0046872|GO:0051082
A0A7M7GIS9	A0A7M7GIS9	A0A7M7GIS9	GO:0003688|GO:0005656|GO:0005664|GO:0006270|GO:0031261
A0A7M7GIT8	A0A7M7GIT8	A0A7M7GIT8	GO:0005634|GO:0006357|GO:0016538
A0A7M7GIU3	A0A7M7GIU3	A0A7M7GIU3	GO:0000139|GO:0006886|GO:0006890|GO:0006891|GO:0030126
A0A7M7GIY5	A0A7M7GIY5	A0A7M7GIY5	GO:0005739|GO:0033617
A0A7M7GIZ5	A0A7M7GIZ5	A0A7M7GIZ5	GO:0001221|GO:0003713|GO:0003714|GO:0005634|GO:0006357|GO:0016616|GO:0051287|GO:0140297
A0A7M7GIZ7	A0A7M7GIZ7	A0A7M7GIZ7	GO:0005524|GO:0005739|GO:0008531|GO:0009231|GO:0009398|GO:0046872
A0A7M7GJ19	A0A7M7GJ19	A0A7M7GJ19	GO:0000149|GO:0001786|GO:0005509|GO:0005544|GO:0005886|GO:0030276|GO:0048488|GO:0048791|GO:0070382|GO:0098793
A0A7M7GJ41	A0A7M7GJ41	A0A7M7GJ41	GO:0005524|GO:0005743|GO:0007005|GO:0008270|GO:0016887|GO:0042645
A0A7M7GJ51	A0A7M7GJ51	A0A7M7GJ51	GO:0005868|GO:0005874|GO:0007017|GO:0045505
A0A7M7GJ59	A0A7M7GJ59	A0A7M7GJ59	GO:0000172|GO:0001682|GO:0003676|GO:0004526|GO:0005655|GO:0006364
A0A7M7GJ82	A0A7M7GJ82	A0A7M7GJ82	GO:0005615|GO:0008970|GO:0016042
A0A7M7GJA8	A0A7M7GJA8	A0A7M7GJA8	GO:0000785|GO:0003677|GO:0005654|GO:0006355|GO:0008270|GO:0034647
A0A7M7GJB3	A0A7M7GJB3	A0A7M7GJB3	GO:0005737|GO:0005886|GO:0005911|GO:0007155|GO:0007367|GO:0016055|GO:0045296
A0A7M7GJB5	A0A7M7GJB5	A0A7M7GJB5	GO:0009100|GO:0016231|GO:0102571
A0A7M7GJB6	A0A7M7GJB6	A0A7M7GJB6	GO:0005506|GO:0005789|GO:0006082|GO:0006805|GO:0008395|GO:0016712|GO:0020037
A0A7M7GJD3	A0A7M7GJD3	A0A7M7GJD3	GO:0005634|GO:0005737|GO:0006355|GO:0032259|GO:0035241|GO:0035242|GO:0070611
A0A7M7GJD4	A0A7M7GJD4	A0A7M7GJD4	GO:0001193|GO:0003676|GO:0003899|GO:0005665|GO:0005730|GO:0006283|GO:0006367|GO:0008270
A0A7M7GJE9	A0A7M7GJE9	A0A7M7GJE9	GO:0000289|GO:0003723|GO:0004535|GO:0005634|GO:0005737|GO:0046872|GO:1990431|GO:1990432
A0A7M7GJG3	A0A7M7GJG3	A0A7M7GJG3	GO:0003723|GO:0008033|GO:0043829|GO:0046872
A0A7M7GJH0	A0A7M7GJH0	A0A7M7GJH0	GO:0005119|GO:0005886|GO:0008158|GO:0045879|GO:0097108
A0A7M7GJH9	A0A7M7GJH9	A0A7M7GJH9	GO:0000993|GO:0003682|GO:0005634|GO:0006325|GO:0010506|GO:1904263
A0A7M7GJI0	A0A7M7GJI0	A0A7M7GJI0	GO:0005680|GO:0005819|GO:0031145|GO:0045842|GO:0051301|GO:0070979
A0A7M7GJI1	A0A7M7GJI1	A0A7M7GJI1	GO:0000981|GO:0000987|GO:0001654|GO:0005634|GO:0009887|GO:0042659|GO:0048646
A0A7M7GJJ4	A0A7M7GJJ4	A0A7M7GJJ4	GO:0004989|GO:0005886|GO:0043410|GO:0071880
A0A7M7GJK2	A0A7M7GJK2	A0A7M7GJK2	GO:0001736|GO:0005509|GO:0005886|GO:0007156|GO:0007163|GO:0008104
A0A7M7GJL0	A0A7M7GJL0	A0A7M7GJL0	GO:0004674|GO:0005524|GO:0005634|GO:0035556|GO:0043065|GO:0045087
A0A7M7GJM1	A0A7M7GJM1	A0A7M7GJM1	GO:0005789|GO:0009897|GO:0030177|GO:0031982|GO:0038023|GO:0098588
A0A7M7GJM2	A0A7M7GJM2	A0A7M7GJM2	GO:0003755|GO:0005740|GO:0005829|GO:0012505|GO:0016020|GO:0043066|GO:0044183
A0A7M7GJM6	A0A7M7GJM6	A0A7M7GJM6	GO:0003006|GO:0005634|GO:0006357|GO:0008270|GO:0048513|GO:0048666
A0A7M7GJM7	A0A7M7GJM7	A0A7M7GJM7	GO:0016020|GO:0048812|GO:0098609
A0A7M7GJN1	A0A7M7GJN1	A0A7M7GJN1	GO:0003712|GO:0006357|GO:0010628|GO:0016592|GO:0070847
A0A7M7GJN9	A0A7M7GJN9	A0A7M7GJN9	GO:0005042|GO:0005886|GO:0008045
A0A7M7GJP6	A0A7M7GJP6	A0A7M7GJP6	GO:0000981|GO:0005634|GO:0030154|GO:0043565
A0A7M7GJP8	A0A7M7GJP8	A0A7M7GJP8	GO:0005634|GO:0005739|GO:0006325|GO:0044545
A0A7M7GJP9	A0A7M7GJP9	A0A7M7GJP9	GO:0004430|GO:0005737|GO:0005886|GO:0046854|GO:0048015
A0A7M7GJR0	A0A7M7GJR0	A0A7M7GJR0	GO:0005743|GO:0015187|GO:1904983
A0A7M7GJR1	A0A7M7GJR1	A0A7M7GJR1	GO:0005042|GO:0005886|GO:0008045
A0A7M7GJR4	A0A7M7GJR4	A0A7M7GJR4	GO:0000213|GO:0000214|GO:0000379|GO:0003676|GO:0005737
A0A7M7GJR6	A0A7M7GJR6	A0A7M7GJR6	GO:0004222|GO:0005739|GO:0005829|GO:0043171|GO:0046872|GO:0051603
A0A7M7GJS6	A0A7M7GJS6	A0A7M7GJS6	GO:0005739|GO:0005876|GO:0008017|GO:0097431
A0A7M7GJT6	A0A7M7GJT6	A0A7M7GJT6	GO:0003676|GO:0005681|GO:0008270|GO:0033260|GO:0033314|GO:0044773
A0A7M7GJT9	A0A7M7GJT9	A0A7M7GJT9	GO:0004984|GO:0005549|GO:0005886|GO:0007165
A0A7M7GJU0	A0A7M7GJU0	A0A7M7GJU0	GO:0001228|GO:0005634|GO:0006914|GO:0030154|GO:0040034|GO:0043565
